month_replicate_meadow.position,month,identifyer,Site,Seagrass/ASU ,Location in Wolf,Distance along transect (m),Date collected,size (mm),gammardid amphipod,anenome,caprelid californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod ?,Lacuna variegata,Lacuna vincta,fruit loop,copepod,weird long copepod,,Dungeness,Idotea stenops,caprella mutica,flat worm,Eulalia sp.,Pugettia sp.,mytilus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,8,10,1,,1,3,2,9,1,2,1,,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,0.71,27,,,,2,3,10,,1,,,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,5.6,1,,,,,4,5,,,,2,,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,2,10,,,13,1,3,4,,,,,3,2,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,0.5,27,,,,1,,31,1,,,,,,25,4,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,4,,,,5,,1,,,,,,3,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,2.8,5,,,5,1,4,3,,,,3,4,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,1.4,17,,,1,,19,2,,,,,6,,,,,,,,,,,,,,,,,
july_-120_inner,July,Gwen,Wolf inner F,,Interior,-120,,1,14,,,,,7,10,,,,,1,,,,,,,,,,,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,8,13,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,5.6,16,,,,7,,,2,,,,2,,,,,,1,1,,,1,,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,4,10,,,1,12,,,,,,,3,,,,,1,,,1,1,2,1,,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,2.8,24,,,,6,1,,1,,,,4,1,,,,1,,,1,,1,,1,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,1.4,80,,,,1,,1,4,,,1,,,,,,3,,,,,,1,5,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,1,81,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,0.71,109,,,,3,,,1,,,,,,,,,1,,,,,,1,7,,,,,
july_40_edge,July,Gwen,wolf edge F,,Edge,40,,0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,8,5,2,,4,5,2,,,,,,,,,,,,,,,,1,,2,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,5.6,5,,,4,3,3,,,,,,,,,,,,,,,,,,4,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,4,3,,,2,1,1,,,,,2,,2,,,,,,,,,,,7,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,2.8,4,1,,2,,2,,,,,,,1,,,,,,1,,,,,8,1,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,2,1,,,4,,1,,,,,1,,1,,,,,,,,,,,14,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,1.4,5,,,,,3,,,,,,,,,,,,,,,,,,15,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,0.71,14,,,2,,2,,,,,,,,,,,,,,,,,1,,,,,,
july_-80_inner,July,Gwen,Wolf Inner C,,Interior,-80,,0.5,23,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,8,6,1,1,,5,,,1,,,,,,,,,,,,,,,,,,1,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,5.6,1,,1,,3,,,1,,,,,,,,,,,,,,,,1,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,4,7,2,,,4,,1,,,,,,,,,,,,,,,1,,1,,,2,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,2.8,12,,,,3,,1,,,,1,,,,,,,,,,,,,4,,,1,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,2,24,,,,2,3,1,3,,,,,4,,,,,,,,,,,6,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,1.4,99,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,1,113,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,0.71,69,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
july_-120_edge,July,Gwen,wolf edge D,,Edge,-120,,0.5,108,,,,2,,,,,,,,,,,,,,,,,,2,2,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,8,18,1,4,1,16,,1,4,,,,,,,,,2,,,,,2,,,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,5.6,18,3,,,5,1,1,,,,,2,,,,,,,2,,,1,,,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,4,2,,,,1,,,,,,,3,1,,,,,,2,,,1,,1,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,2.8,5,,,,1,,2,2,,,,,,,,,2,,,,,4,,2,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,2,22,,,1,1,,,3,,,,1,,,,,,,1,,,,,9,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,1.4,55,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,1,140,,,,,2,,,,,,,,,,,,,,,,1,,1,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,0.71,143,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,
july_-160_edge,July,Gwen,Wolf edge A,,Edge,-160,,0.5,159,,,,,,,3,,,,,,18,,8,,,,,,,3,4,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,5.6,7,2,,,1,1,,,,,,1,,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,4,1,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,2.8,,,,3,,,,,,,,,4,,,,,,,,,,,3,3,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,2,2,,,4,1,,,,,,,,4,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,1.4,3,,,2,1,3,,,,,,,,,,,,,,,,,,6,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,0.71,6,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
july_0_inner,July,Gwen,Wolf inner A,,Interior,0,,0.5,6,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,8,3,,,6,4,1,,,,,,,,,,,,,3,,1,,,,2,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,5.6,3,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,2.8,2,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,2,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,1,3,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,0.71,,,,,,,,1,,,,1,,,,,,,,,,,,5,,,,,
july_-40_inner,July,Gwen,Wolf Inner D,,Interior,-40,,0.5,7,,,,,,,,,,,,,19,,,,,,,,,,2,,,3,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,8,3,,,,1,1,,,,,,3,,,,,,,1,,,,,,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,5.6,4,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,4,3,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,2.8,2,,,3,,,,,,,,,5,,,,,,,,,,,2,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,0.71,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
june_40_inner,June,Marcus,Wolf Interior 40 Control,,Interior,40,,0.5,2,,,,,,,,,,,,,10,,,,,,,,,,1,,,1,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,8,,1,,,1,2,,,,,,1,,,,,,,,,1,,,,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,5.6,3,,,1,1,,,,,,1,2,,,,,,,1,,,,,1,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,4,1,1,,1,1,,,,,,,2,,,,,,,,,,,,2,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,2.8,1,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,1.4,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_inner,June,Marcus,Wolf -120 Inner Control ASU,ASU,Interior,-120,,0.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,8,4,,,2,2,1,,,,,,,,,,,,,,,,,1,,1,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,5.6,3,2,,,1,,,,,,1,4,,,,,,,,,,,,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,2.8,,,,1,,,,,,,,,5,,,,,,,,,,2,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,1.4,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,0.71,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
june_-80_inner,June,Marcus,Wolf -80 Interior Seagrass Control,,Interior,-80,,0.5,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,8,5,1,,,5,,,1,,,,1,,,,,,,,,1,,,,,,,1,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,5.6,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,4,,,,,1,,,1,,,,5,,,,,,,,,,,,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,2.8,,1,,,1,,,,,,1,3,2,,,,,,,,,,,1,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-40_inner,June,Marcus,Wolf -40 Interior,,Interior,,,0.5,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,8,11,1,,6,4,,,,,,,2,,,,,,1,2,,1,,,,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,5.6,2,1,,5,1,,,,,,,1,,,,,,1,,,,,,,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,4,3,,,7,2,1,,,,,,2,1,,,,,,,,,,,,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,2.8,1,,,11,1,4,,,,,,,,,,,,,,,,,,2,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,2,5,,,12,,3,,1,,,,,,,,,,,,,,,1,3,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,1.4,6,,,14,,,,,,,3,,,,,,,,,,,,,1,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,1,9,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,0.71,18,,,,,3,,,,,,,,,,,,,,,,,3,3,,,,,
june_0_inner,June,Marcus,Wolf O Interior Control,,Interior,,,0.5,34,,,,,,,,,,,2,,18,,,,,,,,,4,5,,,4,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,8,7,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,5.6,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,2.8,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_40_edge,June,Marcus,Wolf 40 Edge,,Edge,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,8,13,2,2,,10,,1,1,,,,5,,,,,,,2,,4,,,,,,,1,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,5.6,12,,,1,,,,2,,,,2,,,,,,,1,,,,,,2,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,1.4,7,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,1,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,3,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,0.71,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
june_0_edge,June,Marcus,Wolf 0 Edge Control,,Edge,,,0.5,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,8,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,5.6,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,4,4,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,1.4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,0.71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-120_edge,June,Marcus,Wolf -120 Edge Control,,Edge,,,0.5,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,8,3,,,1,3,,,1,,,,1,,,,,,,,,1,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,5.6,4,,,,,,,2,,,,3,5,,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,1.4,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,0.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-80_edge,June,Marcus,Wolf -80 Edge Control,,Edge,,,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,8,9,1,,,17,,,,,,,1,,,,,,,,,2,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,5.6,7,,,,,,,1,,,,2,5,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,4,5,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,2.8,3,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
june_-40_edge,June,Marcus,Wolf -40 Edge,,Edge,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,