Site,Source location,Plot,size (mm),Gammaridean Amphipod,anenome,Caprella californica,Idotea resecata,Platynereis bicanaliculata,Idotea wosnesenskii,Caprella laeviuscula,Nutricola sp.,byozoan 1cm,isopod?,Lacuna variegata,Lacuna vincta,fruit loop,Copepod,weird long copepod,unlabelled,Dungeness,Idotea stenops,Caprella mutica,flat worm,EulaliaEsp.,Pugettia sp.,Mytilus trossulus,Margarites helicinus,Calliostoma sp.,stalked jelly,Nematoda,Terebellidae,Trochidae
Wolf inner F,Inner,plot,8,10,1,,1,3,2,9,1,2,1,,,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,0.71,27,,,,2,3,10,,1,,,,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,5.6,1,,,,,4,5,,,,2,,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,2,10,,,13,1,3,4,,,,,3,2,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,0.5,27,,,,1,,31,1,,,,,,25,4,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,4,,,,5,,1,,,,,,3,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,2.8,5,,,5,1,4,3,,,,3,4,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,1.4,17,,,1,,19,2,,,,,6,,,,,,,,,,,,,,,,,
Wolf inner F,Inner,plot,1,14,,,,,7,10,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf edge F,Edge,plot,8,13,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,
wolf edge F,Edge,plot,5.6,16,,,,7,,,2,,,,2,,,,,,1,1,,,1,,,,,,,
wolf edge F,Edge,plot,4,10,,,1,12,,,,,,,3,,,,,1,,,1,1,2,1,,,,,,
wolf edge F,Edge,plot,2,24,,,,6,1,,1,,,,4,1,,,,1,,,1,,1,,1,,,,,
wolf edge F,Edge,plot,1.4,80,,,,1,,1,4,,,1,,,,,,3,,,,,,1,5,,,,,
wolf edge F,Edge,plot,1,81,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,
wolf edge F,Edge,plot,0.71,109,,,,3,,,1,,,,,,,,,1,,,,,,1,7,,,,,
wolf edge F,Edge,plot,0.5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner C,Inner,plot,8,5,2,,4,5,2,,,,,,,,,,,,,,,,1,,2,,,,,
Wolf Inner C,Inner,plot,5.6,5,,,4,3,3,,,,,,,,,,,,,,,,,,4,,,,,
Wolf Inner C,Inner,plot,4,3,,,2,1,1,,,,,2,,2,,,,,,,,,,,7,,,,,
Wolf Inner C,Inner,plot,2.8,4,1,,2,,2,,,,,,,1,,,,,,1,,,,,8,1,,,,
Wolf Inner C,Inner,plot,2,1,,,4,,1,,,,,1,,1,,,,,,,,,,,14,,,,,
Wolf Inner C,Inner,plot,1,5,,,,,3,,,,,,,,,,,,,,,,,,15,,,,,
Wolf Inner C,Inner,plot,0.71,14,,,2,,2,,,,,,,,,,,,,,,,,1,,,,,,
Wolf Inner C,Inner,plot,0.5,23,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf edge D,Edge,plot,8,6,1,1,,5,,,1,,,,,,,,,,,,,,,,,,1,,,
wolf edge D,Edge,plot,5.6,1,,1,,3,,,1,,,,,,,,,,,,,,,,1,,,,,
wolf edge D,Edge,plot,4,7,2,,,4,,1,,,,,,,,,,,,,,,1,,1,,,2,,
wolf edge D,Edge,plot,2.8,12,,,,3,,1,,,,1,,,,,,,,,,,,,4,,,1,,
wolf edge D,Edge,plot,2,24,,,,2,3,1,3,,,,,4,,,,,,,,,,,6,,,,,
wolf edge D,Edge,plot,1.4,99,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,
wolf edge D,Edge,plot,1,113,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
wolf edge D,Edge,plot,0.71,69,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
wolf edge D,Edge,plot,0.5,108,,,,2,,,,,,,,,,,,,,,,,,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf edge A,Edge,plot,8,18,1,4,1,16,,1,4,,,,,,,,,2,,,,,2,,,,,,,
Wolf edge A,Edge,plot,5.6,18,3,,,5,1,1,,,,,2,,,,,,,2,,,1,,,,,,,
Wolf edge A,Edge,plot,4,2,,,,1,,,,,,,3,1,,,,,,2,,,1,,1,,,,,
Wolf edge A,Edge,plot,2.8,5,,,,1,,2,2,,,,,,,,,2,,,,,4,,2,,,,,
Wolf edge A,Edge,plot,2,22,,,1,1,,,3,,,,1,,,,,,,1,,,,,9,,,,,
Wolf edge A,Edge,plot,1.4,55,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,
Wolf edge A,Edge,plot,1,140,,,,,2,,,,,,,,,,,,,,,,1,,1,,,,,
Wolf edge A,Edge,plot,0.71,143,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,
Wolf edge A,Edge,plot,0.5,159,,,,,,,3,,,,,,18,,8,,,,,,,3,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf inner A,Inner,plot,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf inner A,Inner,plot,5.6,7,2,,,1,1,,,,,,1,,,,,,,,,,,,2,,,,,
Wolf inner A,Inner,plot,4,1,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,
Wolf inner A,Inner,plot,2.8,,,,3,,,,,,,,,4,,,,,,,,,,,3,3,,,,
Wolf inner A,Inner,plot,2,2,,,4,1,,,,,,,,4,,,,,,,,,,,2,,,,,
Wolf inner A,Inner,plot,1.4,3,,,2,1,3,,,,,,,,,,,,,,,,,,6,,,,,
Wolf inner A,Inner,plot,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,
Wolf inner A,Inner,plot,0.71,6,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
Wolf inner A,Inner,plot,0.5,6,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,8,3,,,6,4,1,,,,,,,,,,,,,3,,1,,,,2,,,,
Wolf Inner D,Inner,plot,5.6,3,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,2.8,2,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,2,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Inner D,Inner,plot,1,3,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,
Wolf Inner D,Inner,plot,0.71,,,,,,,,1,,,,1,,,,,,,,,,,,5,,,,,
Wolf Inner D,Inner,plot,0.5,7,,,,,,,,,,,,,19,,,,,,,,,,2,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,Inner,plot,8,3,,,,1,1,,,,,,3,,,,,,,1,,,,,,,,,,
Wolf Interior 40 Control,Inner,plot,5.6,4,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,
Wolf Interior 40 Control,Inner,plot,4,3,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,
Wolf Interior 40 Control,Inner,plot,2.8,2,,,3,,,,,,,,,5,,,,,,,,,,,2,,,,,
Wolf Interior 40 Control,Inner,plot,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,Inner,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,Inner,plot,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Interior 40 Control,Inner,plot,0.71,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
Wolf Interior 40 Control,Inner,plot,0.5,2,,,,,,,,,,,,,10,,,,,,,,,,1,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,8,,1,,,1,2,,,,,,1,,,,,,,,,1,,,,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,5.6,3,,,1,1,,,,,,1,2,,,,,,,1,,,,,1,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,4,1,1,,1,1,,,,,,,2,,,,,,,,,,,,2,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,2.8,1,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,1.4,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Inner Control ASU,Inner,ASU,0.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,8,4,,,2,2,1,,,,,,,,,,,,,,,,,1,,1,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,5.6,3,2,,,1,,,,,,1,4,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,2.8,,,,1,,,,,,,,,5,,,,,,,,,,2,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,1.4,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Wolf -80 Interior Seagrass Control,Inner,plot,0.5,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,8,5,1,,,5,,,1,,,,1,,,,,,,,,1,,,,,,,1,
Wolf -40 Interior,Inner,plot,5.6,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1
Wolf -40 Interior,Inner,plot,4,,,,,1,,,1,,,,5,,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,2.8,,1,,,1,,,,,,1,3,2,,,,,,,,,,,1,,,,,
Wolf -40 Interior,Inner,plot,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Interior,Inner,plot,0.5,,,,,,,,,,,,,,2,,,,,,,,,1,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf O Interior Control,Inner,plot,8,11,1,,6,4,,,,,,,2,,,,,,1,2,,1,,,,,,,,
Wolf O Interior Control,Inner,plot,5.6,2,1,,5,1,,,,,,,1,,,,,,1,,,,,,,,,,,
Wolf O Interior Control,Inner,plot,4,3,,,7,2,1,,,,,,2,1,,,,,,,,,,,,,,,,
Wolf O Interior Control,Inner,plot,2.8,1,,,11,1,4,,,,,,,,,,,,,,,,,,2,,,,,
Wolf O Interior Control,Inner,plot,2,5,,,12,,3,,1,,,,,,,,,,,,,,,1,3,,,,,
Wolf O Interior Control,Inner,plot,1.4,6,,,14,,,,,,,3,,,,,,,,,,,,,1,,,,,
Wolf O Interior Control,Inner,plot,1,9,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
Wolf O Interior Control,Inner,plot,0.71,18,,,,,3,,,,,,,,,,,,,,,,,3,3,,,,,
Wolf O Interior Control,Inner,plot,0.5,34,,,,,,,,,,,2,,18,,,,,,,,,4,5,,,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,8,7,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,5.6,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,2.8,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 40 Edge,Edge,plot,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,8,13,2,2,,10,,1,1,,,,5,,,,,,,2,,4,,,,,,,1,
Wolf 0 Edge Control,Edge,plot,5.6,12,,,1,,,,2,,,,2,,,,,,,1,,,,,,2,,,,
Wolf 0 Edge Control,Edge,plot,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 0 Edge Control,Edge,plot,1.4,7,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,
Wolf 0 Edge Control,Edge,plot,1,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,3,,
Wolf 0 Edge Control,Edge,plot,0.71,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Wolf 0 Edge Control,Edge,plot,0.5,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,8,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,5.6,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,4,4,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,1.4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,
Wolf -120 Edge Control,Edge,plot,0.71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -120 Edge Control,Edge,plot,0.5,6,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,8,3,,,1,3,,,1,,,,1,,,,,,,,,1,,,,,,,,
Wolf -80 Edge Control,Edge,plot,5.6,4,,,,,,,2,,,,3,5,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,2.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,1.4,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Wolf -80 Edge Control,Edge,plot,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
Wolf -80 Edge Control,Edge,plot,0.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -80 Edge Control,Edge,plot,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,8,9,1,,,17,,,,,,,1,,,,,,,,,2,,,,,,,,
Wolf -40 Edge,Edge,plot,5.6,7,,,,,,,1,,,,2,5,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,4,5,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,2.8,3,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf -40 Edge,Edge,plot,0.71,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
Wolf -40 Edge,Edge,plot,0.5,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,